Salesforce Account Name,Simplified Platform Tier,Account Type,Is Ela Subscription,Is Pbf,Account Connections Cost,Account DLW Cost,Account Annualized Cost,Annualized Revenue,Account Cost Margin,# of Syncing Connections,Total Donkey Runtime (hrs),Minimum ARR (70% Margin - Compute),Ideal ARR (95% Margin - Compute),Account Connections Cost (Grand Total),Account DLW Cost (Grand Total),Account Annualized Cost (Grand Total),Annualized Revenue (Grand Total),Account Cost Margin (Grand Total),# of Syncing Connections (Grand Total),Total Donkey Runtime (hrs) (Grand Total),Minimum ARR (70% Margin - Compute) (Grand Total),Ideal ARR (95% Margin - Compute) (Grand Total)
Toyota Motor Corporation,BCF,Customer,false,false,49855.79589945812,0.0,49855.79589945812,337396.80000000005,0.8522339396833103,26,5256.540068333333,166185.98633152706,997115.9179891624,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Grupo Oncoclínicas,BCF,Customer,false,false,0.0,49486.37432554379,49486.37432554379,113870.27999999998,0.5654144845736413,13,2989.6570816666667,164954.58108514597,989727.4865108758,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
CARS24,Standard,Customer,false,false,49316.66191131489,0.0,49316.66191131489,123159.0,0.5995691592874667,291,3932.2237811111117,164388.87303771632,986333.2382262978,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Adtribute Software GmbH,Standard,Customer,false,true,49275.956323134065,0.0,49275.956323134065,78325.07999999999,0.37087895316373665,434,26773.160444722238,164253.18774378023,985519.1264626812,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Software Solutions Integrated,Enterprise,Customer,false,false,0.0,49090.916535555545,49090.916535555545,90225.36,0.45590777874917265,23,4759.180439722223,163636.38845185182,981818.3307111108,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
EverCommerce,,Customer,true,false,31771.83477026364,14585.805171126283,46357.6399413899,381410.9696082957,0.8784575074256553,450,17516.42391694443,154525.46647129967,927152.7988277979,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Sony Music Entertainment,Enterprise,Customer,false,true,46324.71257046661,0.0,46324.71257046661,321995.99999999977,0.8561326458388718,438,18408.777203333317,154415.70856822203,926494.2514093322,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Avanseo,Standard,Customer,false,false,0.0,45639.64189386883,45639.64189386883,506.52,-89.1043234104652,2,122.97470777777777,152132.13964622945,912792.8378773766,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
LVMH – Moët Hennessy Louis Vuitton,,Customer,true,false,43649.047767785654,0.0,43649.047767785654,1194839.5723913915,0.9634686959016389,753,11216.49876499998,145496.82589261886,872980.955355713,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
FivetranAnalytics,BCF,Customer,false,false,34745.25600699968,8805.184350760235,43550.440357759915,0.0,,354,6192.414111111108,145168.1345258664,871008.8071551983,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
